
  Multi-Metric Occurrence Comparison Report
  =========================================

──────────────────────────────────────────────────────────────────────────────
  METRIC LEGEND:
    EXACT    = Normalized exact token match (current method)
    PREFIX   = Safe prefix-aware (و,ف,ب,ل,ك,س + exact form)
    ARTICLE  = Definite article variants (with/without ال)
    FAMILY   = Root-family sum (all vocab words sharing same root)
    LEMMA    = Quranic Arabic Corpus lemma count (external reference)
    OLD      = Manually stored occ value (currently in vocabulary)
──────────────────────────────────────────────────────────────────────────────

  Top 200 entries (sorted by old occ descending):

  #  Word                       Old   Exact  P+Ex  Art+Ex Family Lemma  Best
  ──────────────────────────────────────────────────────────────────────────────
  قَالَ              1720   416   529    155    exact    168%
  كَانَ              1660   333   431    156    exact    113%
  إِنَّ              1593  1603  2448   2260    prefix   8%
  رَبِّ               975   128   149    975    family   76%
  شَيْءٍ              520   190   201    283    prefix   29%
  رَسُول              513    52    67    332    family   61%
  أَرْض               461     4   163    461    prefix   65%
  يَوْمَ              405   217   307    325    prefix   6%
  آيَة                382     2    34    382    prefix   91%
  آيَةً               382     2    34    382    prefix   91%
  سَمَاء              310     1    10    310    prefix   97%
  نَفْسٍ              295    47    54    295    prefix   82%
  سَبِيلِ             174    87    87    176    family   43%
  حَقَّ                47    34   127    242    family   9%

──────────────────────────────────────────────────────────────────────────────
  RECOMMENDATION
──────────────────────────────────────────────────────────────────────────────

  RECOMMENDED INTERNAL METRIC: PREFIX-AWARE (safe merge)
  RECOMMENDED DISPLAY METRIC:  PREFIX-AWARE (safe merge)

  Rationale: The prefix-aware count matches the external lemma
  reference most closely for 14 of 21 words.
  This reflects how knowing a root word helps a learner understand
  prefixed variants of the same word in the Quran.

  RECOMMENDED DISPLAY FOR LEARNERS:
    Word Detail: Show prefix-aware count with note "includes prefixed forms"
    Foundation ordering: Use prefix-aware count for frequency ranking
    Coverage calculation: Use exact token match (conservative baseline)
    Dashboard: Show exact match for "words mastered" statistics

──────────────────────────────────────────────────────────────────────────────
  OLD VS NEW COMPARISON
──────────────────────────────────────────────────────────────────────────────

  Total (all 939 words):
    Old stored:     65744
    New (exact):    23502
    New (prefix):   30526
    Coverage (exact, % of 77,429 tokens):  30.35%
    Coverage (prefix, % of 77,429 tokens): 39.42%

──────────────────────────────────────────────────────────────────────────────
